neuron_id,explanation_1,explanation_2
layer_0_neuron_30,Neuron layer_0_neuron_30 strongly activates for sequences of membrane-associated or secreted proteins involved in signaling or transport processes.,"Neuron layer_0_neuron_30 activates for proteins involved in signaling pathways, particularly those functioning as membrane-associated or secreted proteins with roles in molecular transport or hormonal regulation."
layer_0_neuron_9,"Neuron: layer_0_neuron_9 strongly activates for sequences involved in nuclear processes, particularly those associated with RNA or DNA binding functions and roles in alternative splicing or spermatogenesis.","Neuron: layer_0_neuron_9 strongly activates for sequences associated with spliceosome-mediated alternative splicing and nuclear functions, often involving RNA or DNA binding."
layer_0_neuron_15,"Sequences strongly activating neuron: high helix fraction, low sheet and turn fractions, secreted proteins, diverse organisms.",Neuron layer_0_neuron_15 strongly activates for sequences with high helix content and secretion-associated proteins.
layer_0_neuron_20,"Neuron layer_0_neuron_20 strongly activates for sequences with high alanine and glycine content, related to proteins involved in transcription regulation and RNA polymerase interaction, often found in the nucleus or secreted.","Neuron layer_0_neuron_20 strongly activates for proteins involved in transcription regulation and located in various subcellular locations such as the nucleus and secreted environments, characterized by high charge and instability indices."
layer_0_neuron_23,Neuron layer_0_neuron_23 strongly activates for sequences involved in kinase activity and regulation of gene expression across different organisms.,"Neuron layer_0_neuron_23 strongly activates for sequences involved in signal transduction and gene regulation processes, particularly featuring kinase activity in Dictyostelium discoideum and chromatin binding in Drosophila melanogaster."
layer_0_neuron_24,"Neuron layer_0_neuron_24 strongly activates for sequences involved in biological defense and reproductive processes, characterized by high charge and instability.","Neuron layer_0_neuron_24 activates for sequences involved in defense response or spermatogenesis, characterized by high charge and instability."
layer_0_neuron_0,"These sequences activate the neuron due to their high charge, instability, and roles in binding, with one involved in chitin binding and antifungal activity, and the other in DNA binding during sperm chromatin condensation.",Neuron layer_0_neuron_0 strongly activates for sequences involved in binding (chitin or DNA) with high positive charge and low hydrophobicity.
layer_0_neuron_32,"Neuron layer_0_neuron_32 strongly activates for sequences with high charge, low hydrophobicity, and structural roles in proteins.","Neuron layer_0_neuron_32 strongly activates for sequences with high charge and turn fraction, and low aliphatic index, associated with structural roles in proteins."
layer_0_neuron_2,"Neuron: layer_0_neuron_2 is strongly activated by sequences associated with high instability and boman indexes, often found in secreted proteins involved in defense responses.","Sequences with strong activation are characterized by high instability and boman indices, diverse secondary structures, and are associated with secreted or uncharacterized proteins."
layer_0_neuron_4,Neuron layer_0_neuron_4 activates strongly for sequences associated with proteins involved in defense mechanisms and subcellular localization.,"Neuron layer_0_neuron_4 activates for sequences associated with proteins involved in defense or stress response, characterized by low hydrophobicity, diverse subcellular locations, and specific structural features."
layer_0_neuron_28,Neuron layer_0_neuron_28 strongly activates for sequences of secreted proteins with a high instability index.,Secreted proteins with distinct charge and structure profiles.
layer_0_neuron_33,"Neuron layer_0_neuron_33 strongly activates for membrane-associated proteins involved in biosynthetic processes, found in plants like Arabidopsis thaliana and Zea mays.","Sequences that strongly activate neuron layer_0_neuron_33 are membrane-associated proteins involved in biosynthetic processes, specifically located in organelle membranes such as the endoplasmic reticulum and chloroplasts."
layer_0_neuron_27,These sequences are secreted peptides from venomous organisms with defensive or inhibitory biological functions.,Neuron: layer_0_neuron_27 activates for secreted peptides from venomous organisms with inhibitory or antimicrobial properties.
layer_0_neuron_13,These sequences predominantly activate the neuron due to their involvement in nuclear or secreted cellular locations and unique structural features like high charge at physiological pH and instability.,Neuron layer_0_neuron_13 strongly activates for sequences with high boman index and unique structural or functional roles in nuclei or secreted environments.
layer_0_neuron_36,"Histone-like proteins from Chlamydia species involved in chromosome condensation and DNA binding, likely contributing to nucleoid structure in elementary bodies.","Histone-like proteins from Chlamydia species, involved in chromosome condensation and DNA binding, with high isoelectric points and roles in nucleoid structure establishment, consistently activate neuron layer_0_neuron_36."
layer_0_neuron_34,"Neuron layer_0_neuron_34 strongly activates for sequences involved in metal ion binding with distinct biological functions, such as enzymatic oxidation reactions and reproductive processes.",Neuron: layer_0_neuron_34 activates for sequences with distinct molecular functions related to enzymatic catalysis and reproductive processes.
layer_0_neuron_46,Secreted neuropeptides involved in the neuropeptide signaling pathway with high isoelectric points and positive charges at pH 7.,Both sequences are associated with secreted neuropeptides involved in the neuropeptide signaling pathway.
layer_0_neuron_35,"Neuron layer_0_neuron_35 strongly activates for uncharacterized single-pass transmembrane proteins from Dictyostelium discoideum and Escherichia coli, characterized by distinct molecular weights, isolectric points, and subcellular membrane locations.",Neuron layer_0_neuron_35 strongly activates for sequences of single-pass transmembrane proteins found in various organisms.
layer_0_neuron_40,"Neuron layer_0_neuron_40 strongly activates for sequences associated with cysteine-rich protamines involved in sperm DNA condensation and chromosome organization in the nucleus, across species such as mice and rats.","Neuron layer_0_neuron_40 strongly activates for sequences involved in sperm DNA condensation and nucleus organization, specifically protamines that replace histones during spermatogenesis."
layer_0_neuron_37,"Neuron layer_0_neuron_37 strongly activates for sequences associated with nuclear proteins involved in nucleocytoplasmic transport and RNA export processes, characterized by high glutamine content and nuclear localization, across different species.","Neuron layer_0_neuron_37 activates for sequences associated with nuclear localization, particularly involving proteins with roles in nucleocytoplasmic transport and structural components of the nuclear pore complex."
layer_0_neuron_45,"Neuron layer_0_neuron_45 strongly activates in sequences related to small, secreted or spore-associated proteins with inhibitory or toxin functions.","Neuron layer_0_neuron_45 strongly activates for sequences with a high charge at pH 7, low hydrophobicity, and specific biological functions related to toxins or sporulation."
layer_0_neuron_48,"Neuron layer_0_neuron_48 activates for sequences involved in chromatin remodeling, transcription regulation, and immune response, localizing primarily in the nucleus.","Neuron: layer_0_neuron_48 strongly activates for proteins involved in chromatin remodeling and transcription regulation in the nucleus, particularly those associated with cellular response and immune regulation processes."
layer_0_neuron_49,"Both sequences are secreted alpha-conotoxins from cone snails that inhibit nicotinic acetylcholine receptors, acting as acetylcholine receptor inhibitors and ion channel regulators.","Alpha-conotoxins from marine cone snails inhibit nicotinic acetylcholine receptors, acting as secreted toxins with acetylcholine receptor inhibitor activity."
layer_0_neuron_50,"Neuron layer_0_neuron_50 strongly activates for proteins involved in peptide processing or aggregation regulation, characterized by a diverse range of molecular weights, isoelectric points, and biological functions across different organisms.","Neuron: layer_0_neuron_50 strongly activates for sequences associated with proteolytic activity, particularly those involved in regulatory or processing roles related to protein modification and aggregation."
layer_0_neuron_44,Sequences activating neuron 44 share features of being short peptides with high sheet fraction and are involved in biological processes related to secretion and defense.,Both sequences are peptides with high sheet fraction and are involved in biological processes related to defense mechanisms.
layer_0_neuron_51,"Neuron layer_0_neuron_51 strongly activates for sequences involved in membrane-associated processes, including phospholipid scrambling and glycosylphosphatidylinositol-anchor biosynthesis, with proteins localizing to cell or endoplasmic reticulum membranes.","Shared biological features: Both sequences are multi-pass membrane proteins involved in lipid-related processes, with the first participating in phospholipid scrambling and antiviral response, and the second in GPI-anchor biosynthesis."
layer_0_neuron_42,Neuron: layer_0_neuron_42 is strongly activated by sequences related to membrane-associated proteins.,Membrane-associated proteins involved in lipid-related processes.
layer_0_neuron_56,Neuron layer_0_neuron_56 strongly activates for proteins involved in methylation and nutrient storage with high molecular weight and negative gravy scores.,Neuron layer_0_neuron_56 strongly activates for sequences involved in methyltransferase activity and seed storage functions.
layer_0_neuron_39,"Capsid proteins from Torque teno virus characterized by high isoelectric points, strong positive charges, and their ability to self-assemble into icosahedral structures within virions.","Neuron layer_0_neuron_39 strongly activates for sequences of Torque teno virus capsid proteins that self-assemble into icosahedral capsids, with high isoelectric points and negative gravy scores."
layer_0_neuron_53,Neuron: layer_0_neuron_53 activates for proteins with high histidine content and secreted or cell membrane localization.,"Neuron layer_0_neuron_53 strongly activates for proteins that are either GPI-anchored or secreted, with roles in cell adhesion or unknown functions, and display unique structural features like high charge and specific secondary structure fractions."
layer_0_neuron_47,"Both sequences activate neuron layer_0_neuron_47 due to their involvement in structural and regulatory functions, with the first sequence related to cell wall organization in plants and the second associated with protein kinase activity in signal transduction in amoebae.",Neuron activation is associated with proteins involved in cellular structural organization and signal transduction.
layer_0_neuron_43,Secreted peptide toxins with varying molecular weights and isoelectric points.,Neuron layer_0_neuron_43 strongly activates for secreted peptides with toxin activity.
layer_0_neuron_58,Neuron layer_0_neuron_58 strongly activates with sequences involved in membrane receptor signaling and viral capsid assembly processes.,"Both sequences are associated with membrane-bound proteins involved in signaling pathways, with one being a human neurotensin receptor and the other a viral capsid protein involved in viral assembly and proteolysis."
layer_0_neuron_59,"Neuron layer_0_neuron_59 activates strongly for sequences involved in nuclear functions during spermatogenesis, particularly in DNA binding and chromatin condensation within the nucleus.","The neuron strongly activates for sequences of nuclear sperm proteins involved in DNA binding and spermatogenesis, characterized by high isoelectric points and roles in cell differentiation and chromosome organization."
layer_0_neuron_64,"Both sequences are polyamine aminopropyltransferases involved in spermidine biosynthesis, located in the cell membrane, and catalyze the transfer of a propylamine group to putrescine.","Both sequences are from multi-pass membrane proteins involved in spermidine biosynthesis, specifically catalyzing the transfer of a propylamine group from S-adenosylmethioninamine to putrescine to yield spermidine, with activity primarily associated with spermidine synthase and thermospermine synthase functions."
layer_0_neuron_62,Neuron layer_0_neuron_62 strongly activates for keratin-associated proteins involved in forming a rigid hair shaft through disulfide bond cross-linking with cysteine residues.,"Both sequences are keratin-associated proteins that contribute to hair shaft formation through disulfide bond cross-linking with cysteine-rich hair keratins, essential for creating a rigid and resistant hair structure."
layer_0_neuron_55,"Neuron layer_0_neuron_55 strongly activates for sequences associated with ribosome-binding proteins located in the endoplasmic reticulum membrane, involved in protein transport and ribosome interaction, across multiple organisms.","Neuron layer_0_neuron_55 strongly activates for ribosome-binding proteins that are single-pass type III membrane proteins located in the endoplasmic reticulum membrane, involved in protein transport and ribosome interaction."
layer_0_neuron_41,"Highly charged, glycine-rich proteins involved in structural or regulatory functions, often associated with defense mechanisms or DNA binding.","Both sequences are rich in glycine and arginine residues, feature high isoelectric points, and are involved in structural or protective roles in cells."
layer_0_neuron_65,"Neuron layer_0_neuron_65 strongly activates for sequences involved in antagonizing or modulating biological processes in another organism, such as inhibiting bradykinin or enhancing viral transcription.",Neuron layer_0_neuron_65 strongly activates with sequences involved in modulation of physiological processes and host-pathogen interactions.
layer_0_neuron_60,"Both sequences are associated with proteins involved in mitochondrial electron transport, specifically cytochrome c oxidase activity, in the yeast Debaryomyces hansenii.","Both sequences are from Debaryomyces hansenii and are associated with mitochondrial processes, specifically involving cytochrome c oxidase and electron transport in the mitochondrion."
layer_0_neuron_57,"Shared biological features: Both sequences have high instability indices, low aliphatic indices, and are rich in glutamic acid, indicating potential roles in dynamic cellular processes involving nucleic acid interactions.","Both sequences are characterized by high instability, low hydrophobicity, and a rich presence of glutamic acid, with the first sequence involved in transcriptional regulation and chromatin remodeling in rats, while the second is a glutamic acid-rich protein from Plasmodium falciparum."
layer_0_neuron_63,"Neuron: layer_0_neuron_63 strongly activates for proteins involved in binding, with distinct functions in antifreeze activity and transcription regulation.",Neuron layer_0_neuron_63 strongly activates for proteins involved in ice binding and transcription regulation.
layer_0_neuron_38,"Both sequences are tropomyosin proteins involved in calcium-dependent regulation of muscle contraction, associating with the troponin complex and actin filaments.",Neuron layer_0_neuron_38 strongly activates for sequences related to tropomyosin proteins involved in calcium-dependent muscle contraction regulation across different species.
layer_0_neuron_61,"Neuron layer_0_neuron_61 strongly activates for secreted, highly charged proteins with low hydrophobicity and high turn fraction.","Sequences strongly activating Neuron layer_0_neuron_61 are characterized by high charge at pH 7, low hydrophobicity, and high turn fraction."
layer_0_neuron_67,"Both sequences, derived from the organism *Dictyostelium discoideum* (Social amoeba), share involvement in protein phosphorylation and signal transduction processes.","Neuron layer_0_neuron_67 strongly activates for sequences from *Dictyostelium discoideum* related to protein kinases and guanine nucleotide exchange factors involved in phosphorylation, RNA splicing regulation, Ras signal transduction, and chemotaxis."
layer_0_neuron_52,"Sequences strongly activate the neuron due to their origin from *Dictyostelium discoideum*, characterized by low hydrophobicity, high charge at pH 7, and involvement in regulatory or uncharacterized protein functions.",Neuron layer_0_neuron_52 strongly activates for proteins from *Dictyostelium discoideum* that are characterized by low hydrophobicity and high structural instability.
layer_0_neuron_66,Neuron layer_0_neuron_66 strongly activates for sequences associated with nucleic acid binding and subcellular localization in the nucleus.,Neuron layer_0_neuron_66 strongly activates for sequences involved in nuclear localization and nucleic acid binding.
layer_0_neuron_73,"Both sequences are involved in cellular processes related to cytoskeleton and membrane organization, with the first sequence involved in microtubule severing and the second in nuclear control of mitochondria, both showing high hydrophilicity and instability.","Both sequences are associated with proteins involved in cellular structural organization, with one participating in microtubule severing and cellular microtubule array reorganization and the other in nuclear control of mitochondria."
layer_0_neuron_69,Neuron layer_0_neuron_69 strongly activates for multi-pass membrane proteins found in bacterial inner membranes.,"Both sequences are associated with multi-pass membrane proteins located in the cell membrane or inner membrane, highlighting their role in transmembrane transport activity."
layer_0_neuron_68,"Both sequences are glycoproteins involved in cellular structural functions, with low isoelectric points and are secreted to contribute to extracellular processes like preventing polyspermy or forming protective layers.","Neuron layer_0_neuron_68 strongly activates for glycoproteins involved in extracellular functions such as polyspermy prevention and cell surface coating, with low isoelectric points and negative gravy indices."
layer_0_neuron_70,"Both sequences are characterized by high isoelectric points, negative gravy scores, and high instability indices, indicating they are basic, hydrophilic, and potentially unstable proteins.","Sequences activating neuron layer_0_neuron_70 share high isoelectric points, negative gravy scores, high charges at pH 7, and instability."
layer_0_neuron_75,Neuron layer_0_neuron_75 activates for sequences with high charge at pH 7 and low isoelectric points.,"The neuron strongly activates for sequences with low isoelectric points and high charge at pH 7, often found in proteins of marine organisms."
layer_0_neuron_81,The neuron strongly activates for sequences of membrane proteins with high hydrophobicity and a significant presence in membrane-related functions.,"Shared feature: Both sequences are membrane proteins with high hydrophobicity and stability, found in different organisms."
layer_0_neuron_78,"Neuron layer_0_neuron_78 strongly activates for proteins involved in DNA binding and transcription regulation, particularly zinc finger proteins, predominantly located in the nucleus.","Neuron layer_0_neuron_78 strongly activates for sequences with high instability index, negative GRAVY scores, and transcription-related functions."
layer_0_neuron_54,"Neuron layer_0_neuron_54 strongly activates for sequences with high instability indices, moderate sheet fractions, and low hydrophobic moments.","Sequences are peptides with moderate hydrophobicity, high instability, and significant sheet structure activation."
layer_0_neuron_74,"Histone H1 proteins from Tetrahymena species, located in the nucleus and chromosomes, essential for nucleosome chain condensation, with high isoelectric points and DNA-binding function.","Histone H1 proteins from Tetrahymena species, located in the nucleus and chromosomes, involved in DNA binding and nucleosome chain condensation."
layer_0_neuron_87,Neuron layer_0_neuron_87 strongly activates for sequences involved in immune response and protease inhibition.,Neuron layer_0_neuron_87 activates strongly for sequences involved in immune response and proteinase inhibition.
layer_0_neuron_79,"Highly activated sequences represent protamines involved in sperm DNA condensation during spermatogenesis, characterized by high isoelectric points and nuclear localization.","Neuron layer_0_neuron_79 strongly activates for protamines involved in DNA binding, chromosome condensation, and spermatogenesis, located in the nucleus."
layer_0_neuron_84,"Neuron layer_0_neuron_84 strongly activates for sequences associated with proteins involved in tRNA processing and secretion with a high negative charge and instability, found in organisms like *Plasmodium falciparum* and *Dictyostelium discoideum*.","The sequences activate the neuron and are associated with proteins involved in tRNA processing and secretion, characterized by high charge, low hydrophobicity, and instability."
layer_0_neuron_72,Neuron layer_0_neuron_72 strongly activates for sequences associated with protamines involved in sperm DNA condensation and stabilization during spermatogenesis.,"Strongly activating sequences share features of protamines involved in DNA binding, chromatin condensation, and spermatogenesis within the nucleus."
layer_0_neuron_80,"The sequences feature outer membrane proteins, specifically Outer membrane protein A (rOmpA), from Rickettsia species, which are surface-exposed, multi-pass membrane proteins that elicit protective immunity.","Neuron layer_0_neuron_80 strongly activates for sequences of outer membrane protein A (rOmpA) that elicit protective immunity and are located in the periplasm, cell surface, and cell outer membrane of Rickettsia species."
layer_0_neuron_82,"Neuron layer_0_neuron_82 strongly activates for sequences involved in nuclear DNA-related processes, such as transcription regulation and DNA repair, across different organisms.","Neuron layer_0_neuron_82 strongly activates for sequences involved in DNA-related processes, particularly transcription regulation and DNA helicase activity, located in the nucleus."
layer_0_neuron_86,"Neuron layer_0_neuron_86 strongly activates for sequences characterized by high sheet fraction, low helix fraction, and involvement in defense mechanisms or uncharacterized functions.","Neuron layer_0_neuron_86 strongly activates for sequences with high instability and high sheet fraction, originating from diverse organisms."
layer_0_neuron_83,Secreted proteins with high proline content and involvement in biological processes such as immune response and cell proliferation regulation.,"Neuron layer_0_neuron_83 strongly activates for sequences involved in extracellular processes, particularly in lubrication and structural functions within joint regions, and metal ion binding."
layer_0_neuron_85,"Neuron layer_0_neuron_85 activates for sequences involved in structural roles and defense mechanisms in cell walls, with glycine-rich content and potential antifungal activity.","Sequences activating neuron layer_0_neuron_85 share features of being involved in cell wall structure or membrane interactions with roles in defense, wound healing, or mating processes."
layer_0_neuron_93,"Both sequences are integral membrane proteins involved in electron transport and signaling pathways, with the first sequence functioning in photoreception and the second in oxidative phosphorylation.",Multi-pass membrane proteins involved in light absorption and electron transport.
layer_0_neuron_89,"Neuron layer_0_neuron_89 strongly activates for proteins involved in electron transfer and photosynthesis, characterized by membrane association, high charge at pH 7, and a significant presence of helices and sheets.",Histidine-rich glycoprotein from Plasmodium lophurae and PsaA protein from Picosynechococcus sp. both have a significant electron transfer and binding function with distinct biological processes and subcellular localizations.
layer_0_neuron_95,"Neuron layer_0_neuron_95 strongly activates for proteins involved in lipid metabolism and protein synthesis, located in secreted and mitochondrial subcellular locations, respectively.",Neuron: layer_0_neuron_95 activates strongly in proteins involved in lipid transport or mitochondrial protein synthesis.
layer_0_neuron_88,"Neuron layer_0_neuron_88 strongly activates for sequences involved in cell adhesion, characterized by high charge at pH 7, extracellular or membrane localization, and moderate structural stability.","Neuron layer_0_neuron_88 strongly activates for sequences associated with proteins involved in cell adhesion and characterized by high charges at pH 7, with notable extracellular or membrane localization."
layer_0_neuron_71,"Neuron layer_0_neuron_71 activates for sequences with high charge and turn fraction, moderate helix fraction, and low aliphatic index.","Sequences that strongly activate neuron layer_0_neuron_71 are characterized by high molecular weight, negative hydropathy (gravy) values, and a high turn fraction."
layer_0_neuron_94,Neuron layer_0_neuron_94 strongly activates for sequences of single-pass membrane proteins with high charge and sheet fraction.,"Neuron layer_0_neuron_94 strongly activates for sequences with high molecular weight, positive charge, and instability, often found in membrane-associated proteins."
layer_0_neuron_77,"Shared biological features: Both proteins are involved in cytoskeleton organization or RNA processing and exhibit a negative hydropathy (gravy) index, indicating hydrophilic nature.",Shared biological features: Proteins involved in RNA processing and cytoskeleton organization with high charge at pH 7 and low hydrophobicity.
layer_0_neuron_98,Both sequences correspond to secreted proteins with high cysteine content that bind specific targets (acetylcholine receptors or metal ions) and demonstrate antagonist or binding activity.,The sequences represent proteins that are secreted and display ion binding or regulation activity.
layer_0_neuron_90,"Highly activated sequences share features of being secreted proline-rich proteins with high isoelectric points and primarily form turns, indicating roles in extracellular processes.","Secreted proline-rich proteins with high isoelectric points and negative hydropathy, involved in defense mechanisms."
layer_0_neuron_96,"Neuron layer_0_neuron_96 strongly activates for sequences of Ribonuclease Y enzymes involved in mRNA catabolic processes, characterized by RNA binding and endonuclease activity.","Neuron layer_0_neuron_96 strongly activates for sequences of ribonucleases involved in mRNA catabolic processes with RNA binding and endonuclease activity, found in bacterial species."
layer_0_neuron_100,"Proteins with high activation share a negative gravy score, high charge at pH 7, and are from *Dictyostelium discoideum*.","Proteins from Dictyostelium discoideum with low aliphatic indices, high turn fractions, and negative hydrophobic moments, involved in DNA binding and transcription regulation."
layer_0_neuron_91,"Neuron layer_0_neuron_91 strongly activates for sequences involved in essential cellular processes, specifically translation in mitochondria and mRNA decay, with proteins having diverse subcellular localizations.","The sequences activating neuron layer_0_neuron_91 are associated with proteins involved in RNA-related processes, specifically translation and mRNA decay, with one functioning in mitochondrial protein synthesis and the other in mRNA catabolism."
layer_0_neuron_92,"Neuron layer_0_neuron_92 strongly activates for sequences involved in specialized biochemical processes, either catalyzing reactions in biosynthesis pathways or acting as toxins regulating ion channels.",Neuron: layer_0_neuron_92 strongly activates for sequences involved in sulfur-containing biosynthetic processes or ion channel regulation and inhibition.
layer_0_neuron_102,"Both sequences are characterized by high cysteine content, stability, and involvement in structural biological processes.","Neuron layer_0_neuron_102 strongly activates for proteins involved in structural functions, such as forming protective or structural elements, with high cysteine content and membrane association."
layer_0_neuron_99,"Shared biological features: Both sequences are NADH-ubiquinone oxidoreductase chain 2 proteins located in the mitochondrial inner membrane, involved in mitochondrial electron transport from NADH to ubiquinone, with NADH dehydrogenase activity, essential for the catalytic function and assembly of respiratory chain Complex I.","Both sequences encode the NADH-ubiquinone oxidoreductase chain 2, a core subunit of mitochondrial Complex I, involved in electron transfer from NADH to ubiquinone within the mitochondrial inner membrane."
layer_0_neuron_108,"Both sequences are associated with proteins that regulate gene expression, with one acting as a viral regulator and the other as a nuclear receptor, indicating their involvement in transcriptional regulation.","Neuron layer_0_neuron_108 strongly activates for proteins involved in regulation and modulation of gene expression, often located in the nucleus or interacting with nuclear components."
layer_0_neuron_97,"The shared biological feature is involvement in cellular processes related to RNA and mitochondrial functions, influencing stability and organization.","Neuron layer_0_neuron_97 strongly activates for sequences involved in mitochondrial processes and RNA binding, highlighting roles in mitochondrial organization, protein synthesis, and RNA stability across different organisms."
layer_0_neuron_103,"The sequences are characterized by a high negative charge at pH 7, low isoelectric points, and instability, suggesting they are acidic, unstable proteins found in different organisms and locations.","Sequences activating neuron layer_0_neuron_103 share low isoelectric points, negative hydrophobic moments, high charges at pH 7, and high instability indices."
layer_0_neuron_104,"Neuron layer_0_neuron_104 strongly activates for sequences involved in rRNA processing and modification, specifically ATP-dependent RNA helicase and rRNA methyltransferase activities.","Both sequences are involved in rRNA processing and modification, with functions related to RNA binding and enzymatic activity important for ribosome biogenesis."
layer_0_neuron_101,"Neuron layer_0_neuron_101 strongly activates for sequences associated with protamines involved in sperm DNA condensation, characterized by high positive charge, nuclear localization, and DNA binding function.","Highly basic, cysteine-rich sperm protamines involved in DNA condensation during spermatogenesis, located in the nucleus and chromosomes."
layer_0_neuron_106,Neuron layer_0_neuron_106 strongly activates for proteins involved in repetitive sequence patterns and significant roles in rhythmic biological processes.,"Neuron layer_0_neuron_106 strongly activates for proteins with high charge, negative hydrophobicity, and roles in either histidine-rich functionalities or circadian rhythm regulation."
