neuron_id,explanation_1,explanation_2
layer_0_neuron_67,Strongly activates for multi-pass membrane proteins involved in mitochondrial electron transport and ATP synthesis.,Strongly activates for multi-pass membrane proteins involved in mitochondrial electron transport and ATP synthesis.
layer_0_neuron_66,"Strongly activates for proteins with high molecular weight and negative gravy scores, involved in DNA and RNA binding functions.","Strongly activates for protamines with high molecular weight, negative gravy scores, and involvement in sperm DNA condensation."
layer_0_neuron_64,Strongly activates for secreted proteins with low molecular weight and hydrophpobic characteristics.,"Strongly activates for proteins with a high molecular weight, low isoelectric point, and negative gravy scores."
layer_0_neuron_77,Strongly activates for proteins with high molecular weight and significant charge at pH 7.,Strongly activates for proteins with high charge at pH 7 and significant sheet fraction.
layer_0_neuron_75,"Strongly activates for proteins with high instability indexes and specific structural compositions, including a predominance of turn fractions.",Strongly activates for proteins with high instability indices and significant turn fractions.
layer_0_neuron_73,Strongly activates for proteins with high charged residues and low hydrophobicity scores.,Strongly activates for proteins with low positive or negative gravy scores and high turn fraction.
layer_0_neuron_74,Strongly activates for male-specific sperm proteins associated with spermatogenesis in Drosophila melanogaster.,Strongly activates for proteins with high molecular weights involved in spermatogenesis and sperm axoneme assembly.
layer_0_neuron_76,Strongly activates for Ribonuclease Y proteins with negative gravy scores and high molar weight.,Strongly activates for endoribonucleases involved in mRNA catabolic processes with negative gravy scores.
layer_0_neuron_83,Strongly activates for proteins with high charge at pH 7 and low helix fraction.,Strongly activates for glutamine-rich proteins with high charge at pH 7 and low hydrophobicity.
layer_0_neuron_69,Strongly activates for protein sequences with high cysteine content and secreted functions associated with toxic or antimicrobial activity.,Strongly activates for cysteine-rich secreted proteins with toxin or antibacterial functions.
layer_0_neuron_86,"Strongly activates for proteins with high molecular weight and significant positive charge at pH 7, primarily involved in electron transport and spermatogenesis functions.","Strongly activates for proteins with high molecular weight and positively charged at pH 7, involved in mitochondrial electron transport."
layer_0_neuron_70,Strongly activates for sequences of ATP-dependent RNA helicases involved in mRNA processing within the nucleus.,"""Strongly activates for ATP-dependent RNA helicases involved in mRNA processing and nuclear splicing."""
layer_0_neuron_88,Strongly activates for protamines involved in sperm DNA condensation with high molecular weight and specific isoelectric points.,Strongly activates for protamines with high molecular weight and a specific isoelectric point of 12.0.
layer_0_neuron_68,Strongly activates for sequences of multi-pass membrane proteins involved in transmembrane transport processes with high molecular weights and positive gravy scores.,Strongly activates for multi-pass membrane proteins involved in transmembrane transport processes with high molecular weights and positive gravy scores.
layer_0_neuron_72,Strongly activates for proteins with multi-pass membrane structures and negative gravy scores.,Strongly activates for multi-pass membrane proteins involved in RNA-mediated gene silencing or transmembrane transport activities.
layer_0_neuron_78,Strongly activates for small cysteine and glycine repeat-containing proteins with high isoelectric points and significant turn fractions.,Strongly activates for small cysteine and glycine repeat-containing proteins involved in hair structure.
layer_0_neuron_71,"Strongly activates for proteins with high molecular weight, negative gravy scores, and significant instability indices.","Strongly activates for proteins with high molecular weight and negative gravy scores, indicating a tendency towards hydrophilicity in aqueous environments."
layer_0_neuron_80,"""Strongly activates for proteins with high molecular weight and negative gravy scores.""",Strongly activates for proteins with negative gravy scores and higher instability indices.
layer_0_neuron_87,Strongly activates for keratin-associated proteins with high molecular weights and significant cysteine content for disulfide bond formation in hair structure.,Strongly activates for keratin-associated proteins involved in forming rigid hair structures with notable high sulfur and glycine-tyrosine content.
layer_0_neuron_84,Strongly activates for secreted glycoproteins and toxins with high molecular weights.,Strongly activates for secreted proteins with high molecular weight and varied isoelectric points.
layer_0_neuron_79,Strongly activates for proteins with negative gravy scores involved in transcriptional regulation and DNA-binding in the nucleus.,Strongly activates for proteins involved in transcriptional regulation with negative gravy scores.
layer_0_neuron_92,Strongly activates for secreted proteins with high instability indices and varying isoelectric points.,Strongly activates for proteins with high molecular weights and significant sheet fractions.
layer_0_neuron_89,Strongly activates for proteins with low gravy scores and functions in DNA binding.,Strongly activates for proteins with low gravy scores involved in DNA binding and nuclear functions.
layer_0_neuron_94,Strongly activates for secreted toxins that inhibit ion channels.,Strongly activates for secreted conotoxins with sodium or acetylcholine receptor inhibitor activities.
layer_0_neuron_91,Strongly activates for secreted proteins with negative gravy scores and high charge at pH 7.,Strongly activates for secreted proteins with negative gravy scores involved in various biological processes.
layer_0_neuron_81,"Strongly activates for keratin-associated proteins involved in hair keratinization with negative gravy scores and diverse helix, turn, and sheet fractions.",Strongly activates for keratin-associated proteins involved in keratinization with negative gravy scores.
layer_0_neuron_96,Strongly activates for keratin-associated proteins with a high molecular weight and significant cysteine content.,Strongly activates for keratin-associated proteins with high molecular weights and positive gravy scores.
layer_0_neuron_93,Strongly activates for multi-pass membrane proteins with high isoelectric points and significant sheet fractions.,Strongly activates for multi-pass membrane proteins with high isoelectric points and significant sheet fractions.
layer_0_neuron_82,Strongly activates for proteins with low gravy scores and significant helix fractions involved in muscle contraction and elasticity.,Strongly activates for protein sequences with high charge at pH 7 and significant helix fraction.
layer_0_neuron_90,"""Strongly activates for sequences of proteins involved in keratinization with a high charge at pH 7.""","Strongly activates for sequences of proteins with high molecular weight, negative gravy scores, and significant helix and turn fractions, associated with keratinization and structural functions in the cytoplasm."
layer_0_neuron_99,"Strongly activates for keratin-associated proteins involved in hair structure, characterized by high molecular weight and extensive cysteine content.",Strongly activates for keratin-associated proteins with high molecular weights and extensive disulfide bond cross-linking.
layer_0_neuron_85,Strongly activates for sperm protamines with high molecular weight and negative gravy scores.,Strongly activates for protamines with high instability indices and negative gravy scores.
layer_0_neuron_95,Strongly activates for secreted conotoxins with high molecular weights and positive gravy scores.,Strongly activates for secreted conotoxins with high molecular weights and positive gravy scores.
layer_0_neuron_98,Strongly activates for single-pass membrane proteins with high hydrophobicity and substantial sheet fraction.,Strongly activates for single-pass membrane proteins with high gravy scores and significant sheet fractions.
layer_0_neuron_97,Strongly activates for secreted proteins with high molecular weights and negative gravy scores.,Strongly activates for proteins with negative gravy scores and high charge at pH 7.
layer_0_neuron_109,Strongly activates for proteins with low isoelectric points and negative gravy scores.,"Strongly activates for sequences of proteins with low molecular weight, negative gravy scores, and significant helix and sheet fractions."
layer_0_neuron_107,Strongly activates for proteins involved in transcriptional regulation with high molecular weight and negative gravy scores.,Strongly activates for proteins with high molecular weight and negative gravy scores.
layer_0_neuron_101,Strongly activates for proteins with high charge at pH 7 and significant ribosomal function.,Strongly activates for proteins with high charge at pH7 and significant helix fraction.
layer_0_neuron_102,Strongly activates for secreted proteins with high hydrophobicity and significant structural roles.,Strongly activates for secreted proteins with high molecular weight and negative gravy scores.
layer_0_neuron_117,Strongly activates for proteins with a high molecular weight and significant charge at pH 7.,"Strongly activates for proteins with high molecular weight, specifically those involved in nucleic acid binding and neuronal functions."
layer_0_neuron_113,Strongly activates for keratin-associated proteins with high molecular weights and positive charge at pH 7.,Strongly activates for keratin-associated proteins with high isoelectric points and positive charge at pH 7.
layer_0_neuron_110,Strongly activates for proline-rich proteins with high molecular weights and significant helix and sheet fractions.,Strongly activates for sequences of negatively charged proteins with substantial sheet fraction.
layer_0_neuron_112,Strongly activates for proteins with high charge at pH 7 and negative gravy scores.,Strongly activates for protein sequences with high charge at pH 7 and low hydrophobicity.
layer_0_neuron_106,Strongly activates for small cysteine and glycine repeat-containing proteins with high isoelectric points and significant turn fractions.,Strongly activates for small cysteine and glycine repeat-containing proteins (KRTAPs) involved in hair shaft formation.
layer_0_neuron_114,Strongly activates for proteins with high molecular weight and significant charge at pH 7.,Strongly activates for proteins with high molecular weights and negative GRAVY scores.
layer_0_neuron_100,"Strongly activates for proteins with high molecular weight, significant sheet fractions, and positive gravy scores.","Strongly activates for proteins with high molecular weight, negative gravy scores, and significant sheet fractions."
layer_0_neuron_103,"""Strongly activates for proteins with high molecular weights and presence in the cell outer membrane.""","""Strongly activates for PE-PGRS family proteins involved in host cell interaction and immune modulation."""
layer_0_neuron_119,"""Strongly activates for DNA-binding proteins with high arginine content and low helix fractions.""","""Strongly activates for positively charged proteins with high instability indices and significant DNA-binding activity."""
layer_0_neuron_111,Strongly activates for proteins with low to neutral gravy scores and high turn fractions.,Strongly activates for secreted proteins with low gravy scores and high turn fractions.
layer_0_neuron_121,"Strongly activates for multi-pass membrane proteins involved in transmembrane processes, particularly those associated with the type III secretion system.","""Strongly activates for multi-pass membrane proteins involved in transmembrane transport or signaling functions."""
layer_0_neuron_105,Strongly activates for secreted proteins with high charged pH7 values and low gravy scores.,Strongly activates for proteins with high instability indices and negative gravy scores.
layer_0_neuron_104,Strongly activates for metallothioneins and zinc finger proteins involved in metal ion binding.,Strongly activates for metallothioneins involved in metal ion binding with low to neutral gravy scores.
layer_0_neuron_124,Strongly activates for sequences of secreted conotoxins with varied charge characteristics and significant instability indices.,Strongly activates for secreted conotoxins with varied hydrophobic moments and high instability indices.
layer_0_neuron_120,Strongly activates for methyl-accepting chemotaxis proteins with negative gravy scores and significant subcellular membrane localization.,Strongly activates for low molecular weight proteins with negative gravy scores and significant helix fractions.
layer_0_neuron_118,Strongly activates for sperm protamines involved in DNA binding and chromosome condensation with negative gravy scores.,Strongly activates for sperm protamines involved in DNA binding and chromosome condensation with high instability indices and negative gravy scores.
layer_0_neuron_127,Strongly activates for sequences with high instability indices and negative GRAVY scores.,Strongly activates for sequences of proteins with negative gravy scores and high instability indices.
layer_0_neuron_122,Strongly activates for sequences of multi-pass membrane proteins with significant instability indices.,Strongly activates for proteins with high molecular weight and a significant helical fraction.
layer_0_neuron_123,"Strongly activates for proteins with negative gravy scores and varying helix, turn, and sheet fractions.",Strongly activates for proteins with negative gravy scores and significant charge at pH 7.
layer_0_neuron_125,Strongly activates for sequences of mitochondrial membrane proteins involved in proton transmembrane transport and ATP synthesis.,Strongly activates for single-pass membrane proteins involved in proton transmembrane transport within the mitochondrion membrane.
layer_0_neuron_126,Strongly activates for sequences of protamines with high positive charge and low hydrophobicity.,Strongly activates for sequences of protamines with high positive charge and low hydrophobicity.
layer_0_neuron_108,"Strongly activates for proteins with high molecular weight, low GRAVY scores, and significant helix and sheet fractions.","Strongly activates for proteins with high molecular weight, significant instability indices, and negative gravy scores."
layer_0_neuron_128,"Strongly activates for proteins with high positive charges at pH 7, often involved in spermatogenesis.",Strongly activates for proteins with high positive charge at pH 7 and rich in arginine content.
layer_0_neuron_129,Strongly activates for capsid proteins with high molecular weights and negative gravy scores.,Strongly activates for capsid proteins of viruses with high instability indices and negative gravy scores.
layer_0_neuron_134,"Strongly activates for secreted, proline-rich cell wall proteins with high molar mass and negative gravy scores.",Strongly activates for proline-rich proteins involved in cell wall structure and organization.
layer_0_neuron_133,Strongly activates for protamines with high molecular weight and significant DNA-binding functions involved in sperm chromatin condensation.,Strongly activates for cysteine-rich protamines involved in sperm DNA condensation and chromatin organization.
layer_0_neuron_130,Strongly activates for secreted proteins with low to negative gravy scores and high turn fractions.,"Strongly activates for proteins with low to moderate molecular weight and negative to low gravy scores, often involved in secreted signaling functions."
layer_0_neuron_131,Strongly activates for sequences of multi-pass membrane proteins involved in transmembrane transport processes.,"Strongly activates for proteins with high molecular weights, significant sheet fractions, and associated with transmembrane transport functions."
layer_0_neuron_135,"""Strongly activates for E3 ubiquitin-protein ligases involved in protein ubiquitination processes.""","""Strongly activates for E3 ubiquitin-protein ligases with high molecular weight and negative gravy scores."""
layer_0_neuron_136,"""Strongly activates for multi-pass membrane proteins with high hydrophobicity and significant transmembrane transport activity.""",Strongly activates for multi-pass membrane proteins with high hydrophobicity and significant helix and sheet fractions.
layer_0_neuron_115,Strongly activates for protein sequences with high charge at pH 7 and low gravy scores.,Strongly activates for proteins with high charge at pH 7 and low hydrophobicity.
layer_0_neuron_116,Strongly activates for sequences of secreted structural proteins with high charge at pH 7.,Strongly activates for secreted proteins with a high instability index and variable hydrophobicity.
layer_0_neuron_142,"Strongly activates for proteins with negative gravy scores and significant helices, turns, and sheets.",Strongly activates for proteins with low gravy scores and associated with mitochondrial functions.
layer_0_neuron_143,Strongly activates for secreted proteins with high molecular weight and significant helix fractions.,Strongly activates for secreted proteins with high instability indices and positive gravy scores.
layer_0_neuron_138,"""Strongly activates for proteins with high molecular weight and negative gravy scores.""",Strongly activates for proteins with negative gravy scores and high molar mass.
layer_0_neuron_139,Strongly activates for sequences of secreted neuropeptides with isoelectric points around 4.05 to 8.79 and varying GRAVY scores.,Strongly activates for proteins with an isolectric point around 4.05 and negative gravy scores.
layer_0_neuron_141,Strongly activates for secreted proteins involved in structural and signaling functions with positive molar weights and varied isoelectric points.,Strongly activates for secreted proteins with toxin activity exhibiting high molecular weight and significant sheet fraction.
layer_0_neuron_152,Strongly activates for cationic proteins with high instability indices and negative gravy scores.,Strongly activates for proteins with low gravy scores involved in DNA binding and antimicrobial functions.
layer_0_neuron_146,"""Strongly activates for sequences of secreted proteins with a high charge at pH 7 and low gravy scores.""","Strongly activates for proteins associated with diverse structural functions and secreted locations, exhibiting low hydrophobicity scores."
layer_0_neuron_147,Strongly activates for proteins with high charge at pH 7 and negative gravy scores.,Strongly activates for proteins with negative gravy scores and high charge at pH 7.
layer_0_neuron_157,Strongly activates for secreted proteins with high charge at pH 7 and varying gravy scores.,Strongly activates for secreted proteins with high charge at pH 7.
layer_0_neuron_132,Strongly activates for secreted conotoxins with high molar mass and positive glycosylation scores.,Strongly activates for secreted conotoxins with high molecular weights and positive gravy scores.
layer_0_neuron_151,"""Strongly activates for proteins with low gravy scores and high helix fractions, primarily involved in cytoskeletal and membrane-associated functions.""","""Strongly activates for proteins with low gravy scores and significant helix fractions."""
layer_0_neuron_155,Strongly activates for secreted proteins with high molecular weights and negative gravy scores.,Strongly activates for protein sequences with high charge at pH 7 and significant helix and sheet fractions.
layer_0_neuron_153,Strongly activates for glycine-rich proteins associated with cell wall organization and stress response functions.,Strongly activates for proteins with high instability indices and negative gravy scores.
layer_0_neuron_150,Strongly activates for sequences with high charge at pH 7 and low gravy scores.,Strongly activates for proteins with low gravity scores and high instability indices.
layer_0_neuron_158,Strongly activates for proteins with low gravy scores and high instability indices.,Strongly activates for proteins with low gravy scores and significant positive charge at pH 7.
layer_0_neuron_148,"""Strongly activates for proteins with a high charge at pH 7 and low gravy scores.""",Strongly activates for proteins with high charge at pH 7 and low gravy scores.
layer_0_neuron_156,Strongly activates for secreted antimicrobial peptides with high instability indices and negative gravy scores.,Strongly activates for secreted antimicrobial proteins with significant charge at pH 7 and negative gravy scores.
layer_0_neuron_144,"""Strongly activates for proteins involved in nitrate reduction with low gravy scores.""","""Strongly activates for proteins involved in arabinan degradation and nitrate reduction with varying molecular weights."""
layer_0_neuron_154,Strongly activates for glycine-rich proteins involved in cell wall organization and structural functions.,Strongly activates for glycine-rich proteins associated with structural functions in cell walls.
layer_0_neuron_162,Strongly activates for keratin-associated proteins with low helix content and high turn fraction.,Strongly activates for highly charged proteins with low hydrophobicity and significant helix and turn fractions.
layer_0_neuron_145,Strongly activates for proteins with low isoelectric points and associated with membrane transport and lipid binding functions.,Strongly activates for proteins with a high charge at pH 7 and significant membrane-related functions.
layer_0_neuron_160,Strongly activates for secreted proteins with negative gravy scores.,Strongly activates for secreted proteins with low to negative gravy scores.
layer_0_neuron_166,Strongly activates for proteins with high molecular weight and negative gravy scores.,Strongly activates for proteins with high molecular weights and diverse functions involving calcium ion binding or apoptotic processes.
layer_0_neuron_163,Strongly activates for secreted antifreeze glycoproteins with high molecular weights and positive gravy scores.,Strongly activates for glycoproteins involved in antifreeze functions with high gravy scores.
layer_0_neuron_140,Strongly activates for multi-pass membrane proteins with high molecular weight and significant helical structure.,"""Strongly activates for proteins with high molecular weight and multi-pass membrane protein structures."""
layer_0_neuron_137,Strongly activates for proteins with negative gravy scores and high charge at pH 7.,Strongly activates for proteins with low isoelectric points and negative gravy scores.
layer_0_neuron_164,Strongly activates for sequences of histidine-rich proteins with negative gravy scores.,Strongly activates for histidine-rich proteins with negative gravy scores.
layer_0_neuron_149,Strongly activates for multi-pass membrane proteins involved in mitochondrial electron transport and NADH dehydrogenase activity.,Strongly activates for multi-pass membrane proteins involved in mitochondrial electron transport and NADH dehydrogenase activity.
layer_0_neuron_167,Strongly activates for rRNA biogenesis proteins with high molecular weight and negative gravy scores.,Strongly activates for rRNA biogenesis proteins with negative gravy scores involved in nucleolar functions.
layer_0_neuron_168,"Strongly activates for proteins with high molecular weights, significant sheet fractions, and involvement in electron transport or membrane functions.","""Strongly activates for proteins with high molecular weight and significant sheet fractions."""
layer_0_neuron_165,Strongly activates for keratin-associated proteins with high molecular weights and significant turn fractions.,Strongly activates for keratin-associated proteins with high molecular weight and extensive turn structures involved in forming resistant hair shafts.
layer_0_neuron_174,Strongly activates for proteins that are structural constituents of the cuticle with high molecular weights and varying isoelectric points.,Strongly activates for cuticle proteins from insects with high molecular weight and structural constituent functions.
layer_0_neuron_159,Strongly activates for secreted proteins with high turn fractions and negative gravy scores.,Strongly activates for secreted proteins with high turn fractions and negative gravy scores.
layer_0_neuron_177,"""Strongly activates for proteins involved in mitochondrial electron transport with NADH dehydrogenase activity.""",Strongly activates for multi-pass membrane proteins involved in NADH dehydrogenase activity and electron transport in the mitochondrial inner membrane.
